,rxn,Ea,A,beta,deltaE
38,[N][NH] + [N][NH] = [NH][NH] + N#N,4000.0,10000000000000.0,0.0,-0.23179909034999469
39,[N][NH] + [NH2] = N#N + N,0.0,10000000000000.0,0.0,-0.24643010233398854
40,NN + [H] = N[NH] + [H][H],2500.0,7000000000000.0,0.0,-0.03275444564900454
41,N[O] + [H] = N=O + [H][H],2000.0,30000000.0,2.0,-0.02099902271899623
42,N[O] + [OH] = N=O + O,1000.0,20000000.0,2.0,-0.027388145411009646
43,OO + [OH] = [O]O + O,0.0,1000000000000.0,0.0,-0.036583682372025805
44,[NH2] + [OH] = [NH] + O,-460.0,90000000.0,1.5,-0.03310200476298064
45,[NH2] + [NH] = N + [N],2000.0,10000000000000.0,0.0,-0.05323946219598952
46,[H] + [N]=O = N=O,0.0,1520000000000000.0,-0.41,-0.041390908000010995
47,NO + [OH] = [NH]O + O,4250.0,25000000000000.0,0.0,-0.03333722508497772
48,[NH]O + O=O = N=O + [O]O,25000.0,3000000000000.0,0.0,0.042183552249014156
49,[NH][NH] + [N] = [N][NH] + [NH],0.0,1000000.0,2.0,0.03860845021199566
50,OO + [H] = O + [OH],3575.0,10000000000000.0,0.0,-0.13557007468202187
51,[NH2] + [O] = [H][H] + [N]=O,0.0,5000000000000.0,0.0,-0.034625552280971306
52,[O][N][O] + [O] = [N]=O + O=O,-238.0,3910000000000.0,0.0,-0.10814217431601492
53,N[O] + [O][N][O] = O[N][O] + N=O,2000.0,600000000000.0,0.0,-0.009819166843954008
54,N=O + N=O = [NH]O + [N]=O,4170.0,200000000.0,0.0,-0.057597545757005264
55,[O][N][O] + [O]O = O[N][O] + O=O,-479.0,464000000000.0,0.0,-0.06238699975904183
56,[O]O + [OH] = O + O=O,-500.0,28900000000000.0,0.0,-0.07995597832598378
57,[NH]O = N=O + [H],58935.0,2e+24,-2.84,0.09898845375701626
58,[NH2] + [O]O = N=O + O,707.0,5680000000000000.0,-1.12,-0.07547209654097742
59,O[N][O] + [NH2] = [O][N][O] + N,0.0,5000000000000.0,0.0,-0.012856499542010624
60,N[NH] + [H] = [NH] + N,0.0,100000000000.0,0.0,-0.07301706864600988
61,[N][NH] + [N] = [NH] + N#N,2000.0,30000000000000.0,0.0,-0.1931906401379706
62,N=O + [O][N][O] = O[N][O] + [N]=O,2000.0,602000000000.0,0.0,-0.07780099326697609
63,[H] + [O]O = [OH] + [OH],875.0,170000000000000.0,0.0,-0.09898639230999606
64,[NH]O + [H] = [NH2] + [OH],0.0,40000000000000.0,0.0,-0.06128672184601669
65,[NH]O + [O]O = N=O + OO,-1600.0,29000.0,2.69,-0.001188743704915396
66,[H] + [O]O = [H][H] + O=O,1411.0,42800000000000.0,0.0,-0.07356685563399878
67,[N]O[N] = N#N + [O],62620.0,1260000000000.0,0.0,-0.1549185379109872
68,[NH] + [OH] = [N] + O,0.0,2000000000.0,1.2,-0.05795194122097769
69,[O] + [H][H] = [OH] + [H],6290.0,50600.0,2.67,0.024451878400014948
70,[NH] + [OH] = N=O + [H],0.0,20000000000000.0,0.0,0.05661630053202771
71,[NH][NH] + [O] = [NH2] + [N]=O,0.0,10000000000000.0,0.0,-0.08499799494995841
72,N[NH] + [H] = [NH][NH] + [H][H],0.0,10000000000000.0,0.0,0.0057448997609839125
73,[N][NH] + [OH] = N#N + O,2444.0,2.4e+22,-2.88,-0.2511425813589767
74,[NH][N][O] + [H] = [NH2] + [N]=O,0.0,1000000000000.0,0.0,-0.138996834826969
75,NN + [N] = N[NH] + [NH],2000.0,10000000000.0,1.0,0.018808372880016577
76,NN = N[NH] + [H],63600.0,1000000000000000.0,0.0,0.09761731149301056
77,[O] + [O] = O=O,0.0,1e+17,-1.0,-0.056048463666002135
78,OO + [H] = [O]O + [H][H],3755.0,1700000000000.0,0.0,-0.03019455968001239
79,NN + [OH] = N + N[O],0.0,36700000000000.0,0.0,-0.028156191044018897
80,N[NH] + [O] = [NH2] + N=O,0.0,10000000000000.0,0.0,0.009727753952972762
81,[NH] + [N]=O = [NH][N][O],1820.0,1.63e+23,-2.6,0.035337959755963766
82,[NH] + [H] = [N] + [H][H],325.0,32000000000000.0,0.0,-0.05156281852899269
83,[NH2] + [O][N][O] = N[O] + [N]=O,270.0,6.48e+16,-1.44,-0.10711114821197043
84,N[NH] + [NH2] = N + [NH][NH],0.0,100000000000.0,0.5,0.004068256093972877
85,[N][NH] + [H] = N#N + [H][H],0.0,100000000000000.0,0.0,-0.24475345866700593
86,N=O + [NH2] = N + [N]=O,1000.0,20000000000000.0,0.0,-0.09065749280898672
87,N[NH] + [N] = [NH][NH] + [NH],0.0,1000000.0,2.0,0.057307718289962395
88,OO + [O] = [O]O + [OH],6400.0,28000000000000.0,0.0,-0.005742681280025863
89,[NH2] + [N]=O = [H][H] + [N]O[N],33700.0,10000000000000.0,0.0,0.11258046301898617
90,[NH2] + [NH2] = [NH][NH] + [H][H],1500.0,10000000000000.0,0.0,0.050372442669001316
91,[O][N][O] + [N] = [N]=O + [N]=O,0.0,1000000000000.0,0.0,-0.13881531947299663
92,N[NH] + [NH] = [NH][NH] + [NH2],0.0,20000000000000.0,0.0,0.03245778183196535
93,[NH] + O = N=O + [H][H],13850.0,20000000000000.0,0.0,0.0630054232240127
94,[NH][NH] + [NH] = [N][NH] + [NH2],6000.0,10000000000000.0,0.0,0.013758513753998614
95,[N]O[N] + [H] = [NH][N][O],10530.0,8e+24,-4.39,-0.10395538533401805
96,N[NH] + [O] = [N][NH] + O,0.0,316000000000.0,0.5,0.0108532871519742
97,N=O + [NH] = [NH2] + [N]=O,0.0,500000000000.0,0.5,-0.062267967070965824
98,[N]=O + [OH] = O[N][O],-721.0,2000000000000.0,-0.05,0.03882168812498321
99,[NH][NH] + [NH2] = N + [N][NH],-1610.0,0.088,4.05,-0.014631011983993858
100,[N]O[N] + [N]=O = N#N + [O][N][O],50000.0,275000000000000.0,0.0,-0.10282482726097442
101,[NH2] = [NH] + [H],91400.0,3.16e+23,-2.0,0.10365887507099814
102,[NH][NH] = [NH] + [NH],99400.0,3.16e+16,0.0,0.026573550330994067
103,N#N + [O] = [N]=O + [N],76100.0,180000000000000.0,0.0,0.09443413143401358
104,N[NH] + N[NH] = NN + [NH][NH],0.0,12000000000000.0,0.0,0.03849934541000266
105,N = [NH] + [H][H],93390.0,630000000000000.0,0.0,0.10533551873800207
106,[NH2] + [O] = N=O + [H],0.0,45000000000000.0,0.0,0.05435529686101859
107,[NH][N][O] + [OH] = O + [N]O[N],0.0,20000000000000.0,0.0,-0.03280549449999626
108,[NH] + [H][H] = [NH2] + [H],20070.0,100000000000000.0,0.0,0.026712882070995647
109,[N][NH] + [O] = N#N + [OH],500.0,1.7e+16,-1.23,-0.22030158026697677
110,NN + [O]O = N[NH] + OO,2000.0,40000000000000.0,0.0,-0.0025598859689921483
111,[NH][NH] + [H] = [N][NH] + [H][H],-230.0,85000.0,2.63,-0.012954368317011244
112,[NH] + [N]=O = N#N + [OH],120.0,61000000000000.0,-0.5,-0.12154507156301975
113,NN + [O] = N[NH] + [OH],1200.0,2500000000000.0,0.0,-0.00830256724898959
114,[NH2] + [O] = [NH] + [OH],0.0,7000000000000.0,0.0,-0.002261003671009121
115,N[O] + [O] = N=O + [OH],2000.0,30000000.0,2.0,0.0034528556810187183
116,NN + [O] = [NH][NH] + O,1200.0,85000000000000.0,0.0,-0.008946790180004882
117,[NH2] + [N]=O = [N][NH] + [OH],-814.0,22900000000.0,0.425,0.09649550503297633
118,N[NH] + [O]O = [NH][NH] + OO,2000.0,10000000000000.0,0.0,0.03593945944101051
119,[N][NH] = N#N + [H],0.0,300000000.0,0.0,-0.11438170152499083
120,[NH][NH] + [O]O = [N][NH] + OO,2000.0,10000000000000.0,0.0,0.017240191363043778
121,[H] + [O]O = O + [O],1720.0,30000000000000.0,0.0,-0.129827393401996
122,N[NH] + [O] = [NH][NH] + [OH],1000.0,20000000000000.0,0.0,0.03019677816098465
123,[NH] + [N]O[N] = N#N + N=O,6000.0,2000000000000.0,0.0,-0.20422211612097385
124,N=O + [O] = [O][N][O] + [H],2000.0,50000000000.0,0.0,0.09348461865002378
125,[NH] + [NH] = [NH2] + [N],-2030.0,595.0,2.89,-0.024849936457997046
126,[NH] + [O] = [N] + [OH],0.0,7000000000000.0,0.0,-0.027110940129006167
127,[N]O[N] + [N] = N#N + [N]=O,20000.0,10000000000000.0,0.0,-0.24164014673397105
128,[O][N][O] + [H][H] = O[N][O] + [H],28800.0,733000000000.0,0.0,0.011179855874985378
129,[O][N][O] + [OH] = [O]O + [N]=O,6676.0,18100000000000.0,0.0,-0.0590271970820595
130,[NH][NH] + [OH] = [N][NH] + O,-1360.0,59.2,3.4,-0.01934349100901045
131,O[N][O] + [H] = [N]=O + O,3840.0,8120000.0,1.89,-0.1755825679589691
132,[N]O[N] + [H] = [N][NH] + [O],47290.0,5.5e+18,-1.06,-0.04053683638602479
133,[OH] + [OH] = OO,0.0,72000000000000.0,-0.37,-0.0011908051519924356
134,[O][N][O] + [NH] = [N]O[N] + [OH],-2270.0,86500000000.0,0.0,-0.01872024430201691
135,NN + [H] = [NH2] + N,3100.0,2400000000.0,0.0,-0.07905863222400455
136,[N]O[N] + [H] = N#N + [OH],16750.0,220000000000000.0,0.0,-0.26083841665300156
137,[O]O + [O] = [OH] + O=O,-445.0,16300000000000.0,0.0,-0.049114977233983836
138,[N]O[N] + [O] = [N]=O + [N]=O,26630.0,69200000000000.0,0.0,-0.14720601529995747
139,NN + [NH2] = N[NH] + N,-1380.0,1800000.0,1.71,-0.03443108931600136
140,[N]O[N] + [O] = N#N + O=O,28200.0,100000000000000.0,0.0,-0.21096700157698933
141,N=O + [N] = [N]=O + [NH],2000.0,100000000000.0,0.5,-0.03741803061296878
142,[NH]O + [H] = N=O + [H][H],380.0,480000000.0,1.5,-0.03138330338498463
143,[NH] + [O] = [N]=O + [H],0.0,70000000000000.0,0.0,-0.007912670209975659
144,[NH]O + [O] = N=O + [OH],0.0,70000000000000.0,0.0,-0.0069314249849981024
145,[O][N][O] + [H] = [N]=O + [OH],362.0,132000000000000.0,0.0,-0.15801358939199872
146,O[N][O] + [NH] = [NH2] + [O][N][O],0.0,10000000000000.0,0.0,0.015533026196010269
147,NN = [NH2] + [NH2],60000.0,500000000000000.0,0.0,0.05298976858499316
148,N[O] = N=O + [H],64915.0,2.7999999999999996e+24,-2.83,0.10937273442300466
149,N=O + [H] = [N]=O + [H][H],655.0,446000000000.0,0.72,-0.08898084914198989
150,[O][N][O] + [H] = O[N][O],900.0,1.4e+18,-1.5,-0.11919190126701551
151,[NH]O + [OH] = N=O + O,-1190.0,2400000.0,2.0,-0.037772426076998045
152,O[N][O] + [O] = [OH] + [O][N][O],5960.0,12000000000000.0,0.0,0.01327202252502957
153,N[O] + [O]O = N=O + OO,-1600.0,29000.0,2.69,0.009195536961044581
154,O[N][O] + [OH] = O + [O][N][O],-517.0,1690000000000.0,0.0,-0.01756897856694195
155,[NH][N][O] + [O] = [N]O[N] + [OH],0.0,20000000000000.0,0.0,-0.0019644934079678933
156,[N]O[N] + [OH] = N#N + [O]O,30000.0,100000000000000.0,0.0,-0.16185202434303392
157,[N]=O + [N]=O = N#N + O=O,65000.0,300000000000.0,0.0,-0.06376098627703186
158,N=O + [OH] = [N]=O + O,-956.0,13000000.0,1.88,-0.09536997183397489
159,[O][N][O] + [N]=O = [N]O[N] + O=O,60000.0,1000000000000.0,0.0,0.0390638409839994
160,N[NH] + [O]O = NN + O=O,0.0,8000000000000.0,0.0,-0.04081240998499425
161,N[NH] + [NH][NH] = NN + [N][NH],6000.0,10000000000000.0,0.0,0.019800077332007504
162,[NH]O + [O][N][O] = O[N][O] + N=O,2000.0,600000000000.0,0.0,-0.02020344750997083
163,[NH][N][O] + [OH] = [NH]O + [N]=O,0.0,1000000000000.0,0.0,-0.07771011298098074
164,[O] + [H] = [OH],0.0,6.2e+16,-0.6,-0.10591987874200015
165,[NH]O + [NH2] = N=O + N,-1150.0,1800000.0,1.94,-0.033059947052009875
166,[N][NH] + [O] = [NH] + [N]=O,4000.0,200000000000000.0,0.0,-0.09875650870395702
167,N[NH] + [H] = [NH2] + [NH2],2000.0,50000000000000.0,0.0,-0.044627542908017404
168,N[O] = [H][H] + [N]=O,60300.0,7.830000000000001e+27,-4.29,0.020391885281014765
169,[NH] + [NH] = N#N + [H][H],0.0,100000000.0,1.0,-0.15390962017299614
170,[NH2] + [NH] = [NH][NH] + [H],0.0,1500000000000000.0,-0.5,0.07708532474001117
171,[NH2] + [O]O = N[O] + [OH],1248.0,2.91e+17,-1.32,-0.04808395112996777
172,N[NH] = [NH2] + [NH],60000.0,5e+16,0.0,0.05903133216298784
173,[H] + [OH] = O,0.0,2.2e+22,-2.0,-0.1367608798340001
